Comment,Designator,Footprint,LCSC Part #,MPN,Qty
100nF,"C30,C36,C38,C42,C43,C47,C71",C0402,C307331,CL05B104KB54PNC,7
1nF,"C31,C32,C33,C61,C62,C63",C0402,C14442,CL05B102KB5NNNC,6
1uF,"C37,C40,C41",C0402,C52923,CL05A105KA5NQNC,3
10uF,"C44,C45,C46,C52,C56,C57,C65,C66,C67,C68,C69,C70",C0805,C440198,GRM21BR61H106KE43L,12
22uF/16V,"C54,C82",C0805,C162295,GRM219R61C226ME15L,2
220uF,"C72,C73",CAP-TH_BD8.0-P3.50-D0.6-FD,C106697,ERS1VM221F12OT,2
1uF/16V,"C74,C77",C0603,C59782,CL10B105KO8NNNC,2
100nF/50V,"C75,C78,C81",C0603,C1591,CL10B104KB8NNNC,3
4.7uF/10V,"C76,C79",C0805,C92762,EMK212B7475KG-T,2
10uF/50V,C80,C0805,C440198,GRM21BR61H106KE43L,1
IR12-21C/TR8,CGQ1,LED-SMD_IR12-21C-TR8,C53672,IR12-21C/TR8,1
B3B-XH-2(LF)(SN),"CN3,CN4,CN5",CONN-TH_B3B-XH-2-LF-SN,C158003,B3B-XH-2(LF)(SN),3
SS36,"D2,D6,D7",D_SMA,C2923967,SS36,3
SMCJ24A,D5,SMC_L7.1-W6.2-LS8.1-R-RD,C10771,SMCJ24A,1
B-2100N10P-B110,H1,HDR-SMD_10P-P2.54-V-M-R2-C5-S2.54-LS7.3,C124391,B-2100N10P-B110,1
PT12-21C/TR8,IR1,SENSOR-SMD_L3.0-W2.0-RD,C53674,PT12-21C/TR8,1
47uH,L3,L_Bourns_SRN6045TA,C5151734,SRN6045TA-470M,1
yellow,LED2,LED0603-RD-YELLOW,C72038,yellow,1
5.1kΩ,"R2,R3,R17,R25,R38",R0402,C25905,0402WGF5101TCE,5
330Ω,"R22,R23,R24,R35,R36,R37",R0402,C25104,0402WGF3300TCE,6
10kΩ,"R28,R39,R47",R0402,C25744,0402WGF1002TCE,3
100Ω,R48,R0402,C25076,0402WGF1000TCE,1
3.3kΩ,"R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60",R0402,C137992,RC0402FR-073K3L,12
124kΩ,R61,R0402,C138062,RC0402FR-07124KL,1
40.2kΩ,R62,R0402,C137983,RC0402FR-0740K2L,1
100kΩ,R63,R0402,C60491,RC0402FR-07100KL,1
TSA002A3512A02,"SW2,SW3",SW-SMD_BZCN_TSA002A35XXX,C2888932,TSA002A3512A02,2
MP2459GJ-Z,U2,SOT-23-6,C39578,MP2459GJ-Z,1
2.4GHz,U12,WIRELM-SMD_ESP32-S3-WROOM-1,C2913204,ESP32-S3-WROOM-1-N8R2,1
MP6541A,"U14,U15",TQFN-26 (6X6MM),MP6541A,MP6541A,2
TYPE-C 16PIN,USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,TYPE-C 16PIN,1
