Designator,Mid X,Mid Y,Layer,Rotation
C30,24.7250mm,-14.9100mm,Bottom,0.00
C31,8.8100mm,-52.3150mm,Bottom,90.00
C32,8.7800mm,-49.8300mm,Bottom,90.00
C33,8.7700mm,-47.3450mm,Bottom,90.00
C36,7.6500mm,-55.9600mm,Bottom,90.00
C37,16.2700mm,-26.7750mm,Bottom,-90.00
C38,13.9400mm,-26.8050mm,Bottom,-90.00
C40,18.5600mm,-26.0750mm,Bottom,-90.00
C41,8.7700mm,-54.7700mm,Bottom,-90.00
C42,17.4100mm,-26.4250mm,Bottom,-90.00
C43,15.1000mm,-26.7950mm,Bottom,-90.00
C44,1.4900mm,-55.2400mm,Bottom,0.00
C45,1.4900mm,-53.2500mm,Bottom,0.00
C46,1.4900mm,-51.2600mm,Bottom,0.00
C52,1.4900mm,-59.1800mm,Bottom,0.00
C56,1.4900mm,-57.2200mm,Bottom,0.00
C57,1.4900mm,-61.1700mm,Bottom,0.00
C61,8.7300mm,-44.8550mm,Bottom,-90.00
C62,8.7250mm,-42.3500mm,Bottom,-90.00
C63,8.7900mm,-39.6890mm,Bottom,-90.00
C65,1.1400mm,-30.4100mm,Bottom,180.00
C66,1.1600mm,-36.4000mm,Bottom,180.00
C67,1.1400mm,-38.3900mm,Bottom,180.00
C68,1.1600mm,-40.4000mm,Bottom,180.00
C69,1.1400mm,-32.4000mm,Bottom,180.00
C70,1.1200mm,-34.3800mm,Bottom,180.00
C71,24.7350mm,-19.1300mm,Bottom,0.00
C72,7.6000mm,-30.3800mm,Bottom,0.00
C73,-23.2410mm,-56.6420mm,Bottom,90.00
C74,-7.1000mm,-42.6400mm,Bottom,90.00
C75,-5.4800mm,-42.6100mm,Bottom,-90.00
C76,-10.0300mm,-42.4200mm,Bottom,90.00
C77,-7.5300mm,-27.9500mm,Bottom,90.00
C78,-4.7600mm,-28.7300mm,Bottom,180.00
C79,-10.0300mm,-26.8400mm,Bottom,90.00
CN3,-19.4310mm,-11.0490mm,Bottom,-60.00
CN4,-22.2250mm,1.0160mm,Bottom,-90.00
CN5,29.5350mm,7.9815mm,Bottom,-75.00
D5,-11.6700mm,-63.0600mm,Bottom,-90.00
LED2,16.8910mm,-30.2260mm,Bottom,90.00
R2,21.5400mm,-28.8050mm,Bottom,180.00
R3,21.5500mm,-25.7750mm,Bottom,180.00
R17,18.1975mm,-28.7145mm,Bottom,90.00
R22,7.1670mm,-46.6900mm,Bottom,180.00
R23,7.1430mm,-49.2200mm,Bottom,180.00
R24,7.1930mm,-51.6900mm,Bottom,180.00
R25,17.2200mm,-33.9770mm,Bottom,90.00
R28,24.9930mm,-16.0800mm,Bottom,180.00
R35,7.2000mm,-40.3150mm,Bottom,180.00
R36,7.1270mm,-43.0100mm,Bottom,180.00
R37,7.1570mm,-45.4800mm,Bottom,180.00
R38,18.5200mm,-33.9770mm,Bottom,90.00
R39,24.9630mm,-17.9200mm,Bottom,180.00
R49,5.6100mm,-52.3500mm,Bottom,90.00
R50,7.1830mm,-52.9500mm,Bottom,0.00
R51,5.5100mm,-49.9270mm,Bottom,90.00
R52,7.1630mm,-50.4700mm,Bottom,0.00
R53,7.1630mm,-47.9100mm,Bottom,0.00
R54,5.5550mm,-47.4400mm,Bottom,-90.00
R55,5.5600mm,-44.9470mm,Bottom,90.00
R56,7.1530mm,-44.3500mm,Bottom,0.00
R57,7.1230mm,-41.8100mm,Bottom,180.00
R58,5.4650mm,-42.5300mm,Bottom,90.00
R59,7.1730mm,-39.1000mm,Bottom,180.00
R60,5.5450mm,-39.8600mm,Bottom,-90.00
SW2,27.6860mm,-12.5730mm,Bottom,90.00
SW3,27.6860mm,-18.5420mm,Bottom,90.00
U12,19.1770mm,-45.2120mm,Bottom,0.00
U14,-8.0000mm,-47.7800mm,Bottom,90.00
U15,-8.0000mm,-32.8695mm,Bottom,90.00
USB1,25.7810mm,-27.0510mm,Bottom,-90.00
C47,-14.4600mm,16.2450mm,Top,0.00
C54,-13.6600mm,18.8400mm,Top,-90.00
C80,-5.3600mm,22.0600mm,Top,90.00
C81,-8.6300mm,22.0900mm,Top,0.00
C82,-15.6500mm,18.8400mm,Top,90.00
CGQ1,8.0000mm,0.0000mm,Top,90.00
D2,-0.7300mm,24.9925mm,Top,90.00
D6,1.0300mm,17.7700mm,Top,-90.00
D7,-2.5800mm,17.7900mm,Top,-90.00
H1,-24.0000mm,-45.0000mm,Top,90.00
IR1,-8.0000mm,0.0000mm,Top,-90.00
L3,6.5900mm,20.7200mm,Top,0.00
R47,-8.1830mm,-2.9795mm,Top,180.00
R48,7.7470mm,3.4290mm,Top,90.00
R61,-11.6200mm,17.4450mm,Top,0.00
R62,-11.6000mm,18.5600mm,Top,180.00
R63,-5.7700mm,19.0000mm,Top,-90.00
U2,-8.4500mm,19.5500mm,Top,0.00
